"Encoder Type";"Bitrate [kbps]";"PSNR [dB]";"VMAF";"Enc wall-clock [min]";"Enc time [min]";"Dec time (ffmpeg) [sec]";"Dec time (dAV1d) [sec]";"Dec time (SVT-AV1) [sec]";"Dec time (GAV1) [sec]"
RAV1E;4619.55;44.25;99.27;22.81;75.5;15.05;4.46;7.71;4.76
RAV1E;4935.18;44.33;99.31;23.7;77.93;15.34;4.62;8.02;4.91
RAV1E;5237.71;44.41;99.34;23.85;78.56;16.18;4.88;8.27;5.17
AVC;108.48;23.77;13.43;0.05;0.17;2.36;;;
AVC;307.01;31.46;47.17;0.06;0.26;2.79;;;
AVC;493.61;35.55;70.15;0.07;0.37;2.77;;;
AVC;690.28;37.59;81.27;0.12;0.63;2.86;;;
AVC;891.73;38.86;87.44;0.12;0.70;2.96;;;
AVC;1093.81;39.73;91.03;0.13;0.77;3.07;;;
AVC;1397.68;40.62;94.05;0.14;0.84;3.21;;;
AVC;1706.68;41.24;95.73;0.14;0.79;3.30;;;
AVC;2018.31;41.7;96.78;0.16;0.88;3.44;;;
AVC;2324.85;42.06;97.48;0.20;1.08;3.96;;;
AVC;2627.52;42.34;97.92;0.20;1.09;4.16;;;
AVC;2943.33;42.57;98.25;0.20;1.12;4.27;;;
AVC;3252.18;42.76;98.49;0.22;1.19;4.42;;;
AVC;3565.76;42.93;98.65;0.23;1.24;4.54;;;
AVC;3874.6;43.07;98.79;0.24;1.26;4.21;;;
AVC;4492.96;43.3;98.99;0.25;1.38;4.20;;;
AVC;4808.22;43.39;99.07;0.26;1.39;4.28;;;
AVC;5120.07;43.47;99.12;0.27;1.44;4.33;;;
HEVC;137.4;30.3;32.13;0.34;2.35;3.76;;;
HEVC;301.79;37.4;80.02;0.57;4.06;4.03;;;
HEVC;507.22;39.4;89.42;0.65;4.60;4.37;;;
HEVC;710.46;40.49;93.19;0.69;4.96;4.60;;;
HEVC;916.4;41.2;94.99;0.74;5.29;4.80;;;
HEVC;1123.64;41.71;96.05;0.78;5.58;4.98;;;
