"Encoder Type";"Bitrate [kbps]";"PSNR [dB]";"VMAF";"Enc wall-clock [min]";"Enc time [min]";"Dec time (ffmpeg) [sec]";"Dec time (dAV1d) [sec]";"Dec time (SVT-AV1) [sec]";"Dec time (GAV1) [sec]"
HEVC;3525.88;36.2;99.55;;1.38;1.59;;;
HEVC;4007.48;36.37;99.58;;1.41;1.62;;;
HEVC;4506.98;36.53;99.6;;1.45;1.68;;;
HEVC;4979.75;36.65;99.62;;1.46;1.76;;;
HEVC;5468.73;36.76;99.63;;1.51;1.82;;;
HEVC;5965.04;36.88;99.64;;1.53;1.88;;;
HEVC;6434.69;36.97;99.66;;1.61;2.01;;;
HEVC;6921.31;37.05;99.67;;1.68;2.05;;;
HEVC;7426.5;37.15;99.68;;1.7;2.07;;;
HEVC;7903.4;37.23;99.69;;1.8;2.2;;;
