"Encoder Type";"Bitrate [kbps]";"PSNR [dB]";"VMAF";"Enc wall-clock [min]";"Enc time [min]";"Dec time (ffmpeg) [sec]";"Dec time (dAV1d) [sec]";"Dec time (SVT-AV1) [sec]";"Dec time (GAV1) [sec]"
HEVC;760.48;45.39;97.81;0.39;1.15;0.78;;;
HEVC;862.76;46.02;98.12;0.39;1.19;0.83;;;
HEVC;967.11;46.59;98.35;0.41;1.23;0.84;;;
HEVC;1069.52;47.09;98.52;0.45;1.29;0.91;;;
HEVC;1170.54;47.55;98.68;0.42;1.30;1.03;;;
HEVC;1273.98;47.99;98.8;0.44;1.34;1.10;;;
HEVC;1375.14;48.36;98.89;0.48;1.37;1.00;;;
HEVC;1475.68;48.71;98.98;0.46;1.38;1.00;;;
HEVC;1577.34;49.05;99.06;0.45;1.38;1.03;;;
HEVC;1676.97;49.34;99.11;0.51;1.45;0.99;;;
HEVC;1777.53;49.63;99.17;0.47;1.45;1.11;;;
HEVC;1877.88;49.88;99.22;0.47;1.45;1.03;;;
