"Encoder Type";"Bitrate [kbps]";"PSNR [dB]";"VMAF";"Enc wall-clock [min]";"Enc time [min]";"Dec time (ffmpeg) [sec]";"Dec time (dAV1d) [sec]";"Dec time (SVT-AV1) [sec]";"Dec time (GAV1) [sec]"
RAV1E;4619.55;44.25;99.27;22.81;75.5;15.05;4.46;7.71;4.76
RAV1E;4935.18;44.33;99.31;23.7;77.93;15.34;4.62;8.02;4.91
RAV1E;5237.71;44.41;99.34;23.85;78.56;16.18;4.88;8.27;5.17
AVC;108.48;23.77;13.43;;0.2;1.52;;;
AVC;307.01;31.46;47.17;;0.28;1.94;;;
AVC;493.61;35.55;70.15;;0.4;2.13;;;
AVC;690.28;37.59;81.27;;0.43;2.15;;;
AVC;891.73;38.86;87.44;;0.53;2.25;;;
AVC;1093.81;39.73;91.03;;0.71;2.42;;;
AVC;1397.68;40.62;94.05;;0.73;2.49;;;
AVC;1706.68;41.24;95.73;;0.78;2.57;;;
AVC;2018.31;41.7;96.78;;0.81;2.59;;;
AVC;2324.85;42.06;97.48;;0.88;2.6;;;
AVC;2627.52;42.34;97.92;;0.93;2.64;;;
AVC;2943.33;42.57;98.25;;0.98;2.83;;;
AVC;3252.18;42.76;98.49;;1.1;2.91;;;
AVC;3565.76;42.93;98.65;;1.8;2.92;;;
AVC;3874.6;43.07;98.79;;1.15;2.93;;;
AVC;4492.96;43.3;98.99;;1.26;3.19;;;
AVC;4808.22;43.39;99.07;;1.31;3.25;;;
AVC;5120.07;43.47;99.12;;1.38;3.31;;;
HEVC;137.4;30.3;32.13;;1.98;2.16;;;
HEVC;301.79;37.4;80.02;;2.2;2.34;;;
HEVC;507.22;39.4;89.42;;2.56;2.67;;;
HEVC;710.46;40.49;93.19;;2.78;2.78;;;
HEVC;916.4;41.2;94.99;;2.88;2.84;;;
HEVC;1123.64;41.71;96.05;;3.43;2.88;;;
HEVC;1430.96;42.25;96.97;;3.65;3.15;;;
HEVC;1748.53;42.64;97.47;;3.83;3.32;;;
HEVC;2067.28;42.94;97.83;;4.5;3.36;;;
HEVC;2384.47;43.17;98.06;;4.18;3.48;;;
HEVC;2721.3;43.38;98.25;;4.33;3.72;;;
HEVC;3029.78;43.54;98.42;;4.78;3.78;;;
HEVC;3363.29;43.69;98.58;;5.1;3.93;;;
HEVC;3677.48;43.8;98.68;;5.65;3.99;;;
HEVC;3999.29;43.91;98.78;;5.8;4.12;;;
HEVC;4333.97;44.08;98.9;;6.3;4.13;;;
HEVC;4957.46;44.15;98.95;;6.21;4.45;;;
HEVC;5292.85;44.23;99.02;;6.33;4.56;;;
